Time,Lat,Lon,Alt,Roll,Pitch,Yaw
1741112964.5798867,-35.3598886,149.1621231,683.85,0.4556152820587158,-0.015675721690058708,-2.7119507789611816
1741112964.6799839,-35.3598886,149.1621231,683.85,0.4556152820587158,-0.015675721690058708,-2.7119507789611816
1741112964.780119,-35.3598886,149.1621231,683.85,0.4556152820587158,-0.015675721690058708,-2.7119507789611816
1741112964.8802626,-35.3599355,149.1620941,683.68,0.6293564438819885,-0.024943159893155098,-2.665937900543213
1741112964.9804933,-35.3599355,149.1620941,683.68,0.6293564438819885,-0.024943159893155098,-2.665937900543213
1741112965.0807474,-35.3599778,149.1620643,683.44,0.7542131543159485,-0.03444138169288635,-2.6016807556152344
1741112965.1809862,-35.3599778,149.1620643,683.44,0.7542131543159485,-0.03444138169288635,-2.6016807556152344
1741112965.2811184,-35.3599778,149.1620643,683.44,0.7542131543159485,-0.03444138169288635,-2.6016807556152344
1741112965.3813632,-35.3600219,149.1620275,683.1,0.8337125182151794,-0.037499669939279556,-2.5036380290985107
1741112965.4814925,-35.3600219,149.1620275,683.1,0.8337125182151794,-0.037499669939279556,-2.5036380290985107
1741112965.581725,-35.3600602,149.1619882,682.77,0.8633133769035339,-0.02666500210762024,-2.3872182369232178
1741112965.681967,-35.3600602,149.1619882,682.77,0.8633133769035339,-0.02666500210762024,-2.3872182369232178
1741112965.7821019,-35.3600602,149.1619882,682.77,0.8633133769035339,-0.02666500210762024,-2.3872182369232178
1741112965.8822505,-35.3600978,149.1619387,682.51,0.8632833361625671,0.0012276817578822374,-2.2408711910247803
1741112965.98239,-35.3600978,149.1619387,682.51,0.8632833361625671,0.0012276817578822374,-2.2408711910247803
1741112966.082507,-35.3601273,149.1618868,682.44,0.8427629470825195,0.036413539201021194,-2.099619150161743
1741112966.1827445,-35.3601273,149.1618868,682.44,0.8427629470825195,0.036413539201021194,-2.099619150161743
1741112966.2828774,-35.3601273,149.1618868,682.44,0.8427629470825195,0.036413539201021194,-2.099619150161743
1741112966.3831167,-35.3601525,149.1618251,682.63,0.7989352345466614,0.0748869776725769,-1.9557175636291504
1741112966.4833543,-35.3601525,149.1618251,682.63,0.7989352345466614,0.0748869776725769,-1.9557175636291504
1741112966.583593,-35.3601696,149.1617649,683.04,0.7335454225540161,0.10198156535625458,-1.8432104587554932
1741112966.6838925,-35.3601696,149.1617649,683.04,0.7335454225540161,0.10198156535625458,-1.8432104587554932
1741112966.7841303,-35.3601696,149.1617649,683.04,0.7335454225540161,0.10198156535625458,-1.8432104587554932
1741112966.8842793,-35.3601821,149.161698,683.67,0.6325870752334595,0.11485852301120758,-1.749971866607666
