Time,Lat,Lon,Alt,Roll,Pitch,Yaw
1741112964.579887,-35.3598886,149.1621231,108.85000000000002,0.4556152820587158,-0.0156757216900587,-2.7119507789611816
1741112964.679984,-35.3598886,149.1621231,108.85000000000002,0.4556152820587158,-0.0156757216900587,-2.7119507789611816
1741112964.780119,-35.3598886,149.1621231,108.85000000000002,0.4556152820587158,-0.0156757216900587,-2.7119507789611816
1741112964.8802626,-35.3599355,149.1620941,108.67999999999995,0.6293564438819885,-0.024943159893155,-2.665937900543213
1741112964.9804933,-35.3599355,149.1620941,108.67999999999995,0.6293564438819885,-0.024943159893155,-2.665937900543213
1741112965.0807474,-35.3599778,149.1620643,108.44000000000005,0.7542131543159485,-0.0344413816928863,-2.6016807556152344
1741112965.1809862,-35.3599778,149.1620643,108.44000000000005,0.7542131543159485,-0.0344413816928863,-2.6016807556152344
1741112965.2811184,-35.3599778,149.1620643,108.44000000000005,0.7542131543159485,-0.0344413816928863,-2.6016807556152344
1741112965.3813632,-35.3600219,149.1620275,108.10000000000002,0.8337125182151794,-0.0374996699392795,-2.5036380290985107
1741112965.4814923,-35.3600219,149.1620275,108.10000000000002,0.8337125182151794,-0.0374996699392795,-2.5036380290985107
1741112965.581725,-35.3600602,149.1619882,107.76999999999998,0.8633133769035339,-0.0266650021076202,-2.3872182369232178
1741112965.681967,-35.3600602,149.1619882,107.76999999999998,0.8633133769035339,-0.0266650021076202,-2.3872182369232178
1741112965.782102,-35.3600602,149.1619882,107.76999999999998,0.8633133769035339,-0.0266650021076202,-2.3872182369232178
1741112965.8822503,-35.3600978,149.1619387,107.50999999999999,0.8632833361625671,0.0012276817578822,-2.2408711910247803
1741112965.98239,-35.3600978,149.1619387,107.50999999999999,0.8632833361625671,0.0012276817578822,-2.2408711910247803
1741112966.082507,-35.3601273,149.1618868,107.44000000000005,0.8427629470825195,0.0364135392010211,-2.099619150161743
1741112966.1827445,-35.3601273,149.1618868,107.44000000000005,0.8427629470825195,0.0364135392010211,-2.099619150161743
1741112966.2828774,-35.3601273,149.1618868,107.44000000000005,0.8427629470825195,0.0364135392010211,-2.099619150161743
1741112966.3831167,-35.3601525,149.1618251,107.63,0.7989352345466614,0.0748869776725769,-1.9557175636291504
1741112966.4833543,-35.3601525,149.1618251,107.63,0.7989352345466614,0.0748869776725769,-1.9557175636291504
1741112966.583593,-35.3601696,149.1617649,108.03999999999996,0.7335454225540161,0.1019815653562545,-1.8432104587554927
1741112966.6838925,-35.3601696,149.1617649,108.03999999999996,0.7335454225540161,0.1019815653562545,-1.8432104587554927
1741112966.7841303,-35.3601696,149.1617649,108.03999999999996,0.7335454225540161,0.1019815653562545,-1.8432104587554927
1741112966.8842793,-35.3601821,149.161698,108.66999999999996,0.6325870752334595,0.1148585230112075,-1.749971866607666
1741112966.9844518,-35.3601821,149.161698,108.66999999999996,0.6325870752334595,0.1148585230112075,-1.749971866607666
1741112967.084595,-35.3601896,149.1616361,109.32000000000005,0.5173173546791077,0.1083382740616798,-1.689235806465149
1741112967.184727,-35.3601896,149.1616361,109.32000000000005,0.5173173546791077,0.1083382740616798,-1.689235806465149
1741112967.284896,-35.3601896,149.1616361,109.32000000000005,0.5173173546791077,0.1083382740616798,-1.689235806465149
1741112967.385132,-35.3601949,149.1615696,110.0,0.3845216333866119,0.0826627388596534,-1.6443161964416504
1741112967.4853835,-35.3601949,149.1615696,110.0,0.3845216333866119,0.0826627388596534,-1.6443161964416504
1741112967.5855262,-35.360198,149.1615089,110.48000000000002,0.2701683342456817,0.0481363795697689,-1.6152435541152954
1741112967.6856575,-35.360198,149.1615089,110.48000000000002,0.2701683342456817,0.0481363795697689,-1.6152435541152954
1741112967.7858312,-35.360198,149.1615089,110.48000000000002,0.2701683342456817,0.0481363795697689,-1.6152435541152954
1741112967.885942,-35.3602002,149.1614443,110.78999999999996,0.1663026511669159,0.0076226275414228,-1.592484712600708
1741112967.9861689,-35.3602002,149.1614443,110.78999999999996,0.1663026511669159,0.0076226275414228,-1.592484712600708
1741112968.08631,-35.3602014,149.1613854,110.86000000000001,0.0914456993341445,-0.0252984799444675,-1.577489137649536
1741112968.186485,-35.3602014,149.1613854,110.86000000000001,0.0914456993341445,-0.0252984799444675,-1.577489137649536
1741112968.2866316,-35.3602014,149.1613854,110.86000000000001,0.0914456993341445,-0.0252984799444675,-1.577489137649536
1741112968.3867629,-35.3602023,149.1613222,110.74000000000001,0.0304973945021629,-0.0500095561146736,-1.5668213367462158
1741112968.4868834,-35.3602023,149.1613222,110.74000000000001,0.0304973945021629,-0.0500095561146736,-1.5668213367462158
1741112968.5869896,-35.3602027,149.1612643,110.50999999999999,-0.0112772248685359,-0.0591695643961429,-1.5617889165878296
1741112968.6871128,-35.3602027,149.1612643,110.50999999999999,-0.0112772248685359,-0.0591695643961429,-1.5617889165878296
1741112968.7872298,-35.3602027,149.1612643,110.50999999999999,-0.0112772248685359,-0.0591695643961429,-1.5617889165878296
1741112968.8873453,-35.3602031,149.1612016,110.21000000000004,-0.044894453138113,-0.0553767085075378,-1.5611207485198977
1741112968.9874723,-35.3602031,149.1612016,110.21000000000004,-0.044894453138113,-0.0553767085075378,-1.5611207485198977
1741112969.087565,-35.3602035,149.1611437,109.95000000000005,-0.0679080635309219,-0.0439187884330749,-1.564137578010559
1741112969.1876795,-35.3602035,149.1611437,109.95000000000005,-0.0679080635309219,-0.0439187884330749,-1.564137578010559
1741112969.2877996,-35.3602035,149.1611437,109.95000000000005,-0.0679080635309219,-0.0439187884330749,-1.564137578010559
