Time,Lat,Lon,Alt,Heading,Roll,Pitch,Yaw
1741631454.964831,-35.3572674,149.1658758,666.3,17,-0.02564314194023609,0.06021582707762718,0.31368958950042725
1741631455.0649683,-35.3572674,149.1658758,666.3,17,-0.02564314194023609,0.06021582707762718,0.31368958950042725
1741631455.1651537,-35.3572674,149.1658758,666.3,17,-0.02564314194023609,0.06021582707762718,0.31368958950042725
1741631455.265293,-35.3572165,149.1658951,666.71,17,-0.025882339105010033,0.060017406940460205,0.3133777976036072
1741631455.365452,-35.3572165,149.1658951,666.71,17,-0.025882339105010033,0.060017406940460205,0.3133777976036072
1741631455.4657342,-35.3571696,149.1659128,667.08,17,-0.02614954486489296,0.059895679354667664,0.31309354305267334
1741631455.5658753,-35.3571696,149.1659128,667.08,17,-0.02614954486489296,0.059895679354667664,0.31309354305267334
1741631455.6661193,-35.3571696,149.1659128,667.08,17,-0.02614954486489296,0.059895679354667664,0.31309354305267334
1741631455.7662935,-35.3571187,149.165932,667.48,17,-0.02641342207789421,0.05983053892850876,0.31277522444725037
1741631455.8664691,-35.3571187,149.165932,667.48,17,-0.02641342207789421,0.05983053892850876,0.31277522444725037
1741631455.9666653,-35.3570717,149.1659497,667.86,17,-0.026624983176589012,0.06003269925713539,0.31245559453964233
1741631456.0668182,-35.3570717,149.1659497,667.86,17,-0.026624983176589012,0.06003269925713539,0.31245559453964233
1741631456.1670828,-35.3570717,149.1659497,667.86,17,-0.026624983176589012,0.06003269925713539,0.31245559453964233
1741631456.2672448,-35.3570208,149.1659689,668.27,17,-0.026827573776245117,0.060389213263988495,0.3120748996734619
1741631456.3675263,-35.3570208,149.1659689,668.27,17,-0.026827573776245117,0.060389213263988495,0.3120748996734619
1741631456.4676926,-35.3569738,149.1659865,668.64,17,-0.027010152116417885,0.06073906645178795,0.31157734990119934
1741631456.5678313,-35.3569738,149.1659865,668.64,17,-0.027010152116417885,0.06073906645178795,0.31157734990119934
1741631456.6681094,-35.3569738,149.1659865,668.64,17,-0.027010152116417885,0.06073906645178795,0.31157734990119934
1741631456.7683926,-35.3569229,149.1660057,669.06,17,-0.0272744782269001,0.06099554896354675,0.3109073340892792
1741631456.8685567,-35.3569229,149.1660057,669.06,17,-0.0272744782269001,0.06099554896354675,0.3109073340892792
1741631456.9687374,-35.3568758,149.1660232,669.44,17,-0.02749798633158207,0.0612039789557457,0.31052127480506897
1741631457.0690367,-35.3568758,149.1660232,669.44,17,-0.02749798633158207,0.0612039789557457,0.31052127480506897
1741631457.1693406,-35.3568758,149.1660232,669.44,17,-0.02749798633158207,0.0612039789557457,0.31052127480506897
1741631457.269644,-35.3568249,149.1660423,669.86,17,-0.02753247693181038,0.06135294958949089,0.3102143406867981
1741631457.3697968,-35.3568249,149.1660423,669.86,17,-0.02753247693181038,0.06135294958949089,0.3102143406867981
1741631457.4700687,-35.3567779,149.1660598,670.24,17,-0.027573635801672935,0.06114281713962555,0.3096381723880768
1741631457.5703754,-35.3567779,149.1660598,670.24,17,-0.027573635801672935,0.06114281713962555,0.3096381723880768
1741631457.670649,-35.3567779,149.1660598,670.24,17,-0.027573635801672935,0.06114281713962555,0.3096381723880768
1741631457.7709363,-35.3567269,149.1660788,670.66,17,-0.028011268004775047,0.06073743849992752,0.3090282082557678
1741631457.8711817,-35.3567269,149.1660788,670.66,17,-0.028011268004775047,0.06073743849992752,0.3090282082557678
1741631457.971354,-35.3566799,149.1660963,671.04,17,-0.028282858431339264,0.06030060350894928,0.3084786534309387
1741631458.0715675,-35.3566799,149.1660963,671.04,17,-0.028282858431339264,0.06030060350894928,0.3084786534309387
1741631458.1716943,-35.3566799,149.1660963,671.04,17,-0.028282858431339264,0.06030060350894928,0.3084786534309387
1741631458.2718315,-35.3566289,149.1661151,671.45,17,-0.028665294870734215,0.05982360988855362,0.3078784942626953
1741631458.3720045,-35.3566289,149.1661151,671.45,17,-0.028665294870734215,0.05982360988855362,0.3078784942626953
1741631458.4721637,-35.3565819,149.1661325,671.83,17,-0.028999365866184235,0.059498902410268784,0.3072570860385895
1741631458.5723135,-35.3565819,149.1661325,671.83,17,-0.028999365866184235,0.059498902410268784,0.3072570860385895
1741631458.6725624,-35.3565819,149.1661325,671.83,17,-0.028999365866184235,0.059498902410268784,0.3072570860385895
1741631458.7727065,-35.3565309,149.1661513,672.23,17,-0.029414093121886253,0.05946506932377815,0.30653679370880127
1741631458.8728344,-35.3565309,149.1661513,672.23,17,-0.029414093121886253,0.05946506932377815,0.30653679370880127
1741631458.9729927,-35.3564839,149.1661687,672.6,17,-0.02981494553387165,0.05955975130200386,0.30584612488746643
1741631459.0731647,-35.3564839,149.1661687,672.6,17,-0.02981494553387165,0.05955975130200386,0.30584612488746643
1741631459.1733272,-35.3564839,149.1661687,672.6,17,-0.02981494553387165,0.05955975130200386,0.30584612488746643
1741631459.2736,-35.3564329,149.1661874,673.01,17,-0.030194342136383057,0.0595126636326313,0.3050144910812378
1741631459.373891,-35.3564329,149.1661874,673.01,17,-0.030194342136383057,0.0595126636326313,0.3050144910812378
1741631459.4740446,-35.3563858,149.1662046,673.38,17,-0.030681343749165535,0.05929683893918991,0.30427461862564087
1741631459.574344,-35.3563858,149.1662046,673.38,17,-0.030681343749165535,0.05929683893918991,0.30427461862564087
1741631459.674644,-35.3563858,149.1662046,673.38,17,-0.030681343749165535,0.05929683893918991,0.30427461862564087
1741631459.7748036,-35.3563347,149.1662232,673.78,17,-0.03141142800450325,0.05912959948182106,0.3034939765930176
