Time,Lat,Lon,Alt,Heading,Roll,Pitch,Yaw
1742741502.3414133,-35.3646824,149.1724631,684.51,25,-0.48073849081993103,-0.04152524098753929,0.4497547447681427
1742741502.441686,-35.3646824,149.1724631,684.51,25,-0.48073849081993103,-0.04152524098753929,0.4497547447681427
1742741502.5419831,-35.3646824,149.1724631,684.51,25,-0.48073849081993103,-0.04152524098753929,0.4497547447681427
1742741502.6422694,-35.3646313,149.1724877,684.49,23,-0.44061747193336487,-0.05269332602620125,0.40971723198890686
1742741502.7425497,-35.3646313,149.1724877,684.49,23,-0.44061747193336487,-0.05269332602620125,0.40971723198890686
1742741502.8428102,-35.3645837,149.1725086,684.43,21,-0.4197026789188385,-0.054783836007118225,0.3731611371040344
1742741502.9429686,-35.3645837,149.1725086,684.43,21,-0.4197026789188385,-0.054783836007118225,0.3731611371040344
1742741503.0432105,-35.3645837,149.1725086,684.43,21,-0.4197026789188385,-0.054783836007118225,0.3731611371040344
1742741503.143435,-35.3645314,149.1725291,684.38,19,-0.39294078946113586,-0.05318885296583176,0.33802086114883423
1742741503.2436755,-35.3645314,149.1725291,684.38,19,-0.39294078946113586,-0.05318885296583176,0.33802086114883423
1742741503.3438418,-35.3644824,149.1725462,684.33,17,-0.3586883544921875,-0.05530861020088196,0.3087977170944214
1742741503.4439702,-35.3644824,149.1725462,684.33,17,-0.3586883544921875,-0.05530861020088196,0.3087977170944214
1742741503.5441144,-35.3644824,149.1725462,684.33,17,-0.3586883544921875,-0.05530861020088196,0.3087977170944214
1742741503.644275,-35.3644289,149.172563,684.28,16,-0.31935492157936096,-0.05646246671676636,0.2816479802131653
1742741503.7444413,-35.3644289,149.172563,684.28,16,-0.31935492157936096,-0.05646246671676636,0.2816479802131653
1742741503.8445842,-35.3643793,149.172577,684.24,14,-0.2862245440483093,-0.06020985543727875,0.25699836015701294
1742741503.9447463,-35.3643793,149.172577,684.24,14,-0.2862245440483093,-0.06020985543727875,0.25699836015701294
1742741504.0448904,-35.3643793,149.172577,684.24,14,-0.2862245440483093,-0.06020985543727875,0.25699836015701294
